,1,2,3,4,5,mean,Glide,Win/Lose,SIEVE-SVM,Win/Lose,,,,
RF_1112_src.csv,0.937,0.927,0.938,0.905,0.916,0.923,0.786,1,0.852,1,,,,
RF_1112_tgfr1.csv,0.925,0.93,0.973,0.945,0.947,0.94,0.886,1,0.916,1,,,,
RF_1112_thb.csv,0.952,0.922,0.969,0.881,0.867,0.915,0.874,1,0.889,1,,,,
RF_1112_thrb.csv,0.929,0.958,0.985,0.947,0.974,0.956,0.894,1,0.909,1,,,,
RF_1112_try1.csv,0.97,0.956,0.975,0.985,0.965,0.967,0.862,1,0.957,1,,,,
RF_1112_tryb1.csv,0.955,0.949,0.921,0.982,0.985,0.955,0.731,1,0.932,1,,,,
RF_1112_tysy.csv,0.956,0.886,0.885,0.938,0.971,0.924,0.921,1,0.862,1,,,,
RF_1112_urok.csv,0.968,0.951,0.965,0.947,0.963,0.956,0.857,1,0.916,1,,,,
RF_1112_vgfr2.csv,0.921,0.872,0.905,0.839,0.948,0.895,0.673,1,0.778,1,,,,
RF_1112_wee1.csv,1,0.935,0.998,0.978,1,0.978,0.99,0,0.977,1,,,,
RF_1112_xiap.csv,0.999,0.917,0.97,0.994,0.971,0.966,0.901,1,0.961,1,,,,
Average,0.906264706,0.904313725,0.909431373,0.907362745,0.902343137,0.903519608,0.794382353,97,0.850 ,98,,,,
STD,,,,,,0.097244661,0.107002203,,0.093039886,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,8.80936E-23,,,,
